title,br_id,media_type,distributor,genres,rating,bluray_ratings,media_img,release_date
Dream Stalker / Death by Love (1991),134589,dvd,Intervision Picture Corp,Horror,6.5,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images4.static-bluray.com/movies/dvdcovers/134589_medium.jpg?t=1488446545,"Apr 11, 2017"
Dreamcatcher (2003),3525,dvd,Warner Bros.,Horror; Thriller; Sci-Fi; Drama,5.7,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images.static-bluray.com/movies/dvdcovers/3525_medium.jpg?t=1363007818,"Jun 01, 2004"
Drunken Master (1978),6233,dvd,Columbia/Tri-Star,Foreign; Martial arts; Comedy; Action,7.3,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images2.static-bluray.com/movies/dvdcovers/6233_medium.jpg?t=1316833934,"Apr 02, 2002"
Duel of the Iron Fist (1971),68020,dvd,No title given.,Foreign; Period; Martial arts; Action,6.5,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images2.static-bluray.com/movies/dvdcovers/68020_medium.jpg?t=1381907898,NA
An Empress and the Warriors (2008),6266,dvd,Weinstein Company,Action; Foreign; Martial arts; Drama,6.7,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images2.static-bluray.com/movies/dvdcovers/6266_medium.jpg?t=1384339085,"Jul 21, 2009"
Ernest Goes to Camp (1987),36325,dvd,Touchstone Picture,Comedy; Family,6.3,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images.static-bluray.com/movies/dvdcovers/36325_medium.jpg?t=1370014567,"Sep 03, 2002"
Escaflowne: The Movie (2000),330,dvd,Bandai Visual,Anime; Sci-Fi; Action; Fantasy; Adventure; Thriller; Drama,7.2,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images2.static-bluray.com/movies/dvdcovers/330_medium.jpg?t=0,"Jul 23, 2002"
Fanboys (2008),6171,dvd,Weinstein Company,Comedy; Adventure,6.6,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images.static-bluray.com/movies/dvdcovers/6171_medium.jpg?t=0,"May 19, 2009"
The Fantastic Films of Ray Harryhausen (1961-1964),33078,dvd,Sony Pictures,Adventure; Family; Fantasy; Sci-Fi,7.2,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images3.static-bluray.com/movies/dvdcovers/33078_medium.jpg?t=1338281467,1964
The Fantastic Films of Ray Harryhausen (1958-1977),35686,dvd,Sony Pictures,Action; Adventure; Fantasy; Imaginary,NA,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images4.static-bluray.com/movies/dvdcovers/35686_medium.jpg?t=1342983254,1977
